2026-02-17 00:04:05 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 14:17:19 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 21:47:43 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 22:14:03 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 22:35:23 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 22:52:16 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 23:08:18 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 23:17:57 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 23:28:52 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 23:31:05 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 23:39:55 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-02-17 23:41:24 [main] DEBUG com.ezbar.Main - Running with Spring Boot v3.2.0, Spring v6.1.1
